Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Camocim de São Félix,PE,63.29,72.01,18018.00,11613.16,79.66,65.61,44.60,79.80,77.52,94.80,66.51,78.06,73.33,53.21,57.84,37.78,50.79,62.85,26.99,92.75,897.74,128.85,14.76,2.93,75.02,91.31,79.56,31.55,86.54,96.27,91.04,98.92,40.90,0.00,21.21,23.39,0.58,0.18,20.06,8.58,4.61,3.00,99.51,17.74,53.11,95.83,72.20,69.25,247.83,395.43,25.28,3.34,2.58,0.56,29.34,0.86,48.26,6.00,5.00,728.13,1217.34,56.48,95.15,9.00,16.70,1.10,0.29,1.94,0.18,0.85,,135.17,85.17,28.90,45.26,514.08
Salgueiro,PE,63.26,1678.56,65946.00,21077.38,78.83,66.02,44.93,76.07,83.08,91.60,64.59,81.74,74.31,54.75,53.27,35.14,55.73,55.40,33.46,92.32,1170.29,144.06,15.39,3.94,81.17,83.74,97.09,34.66,82.01,95.35,89.10,93.86,21.58,3.62,17.99,28.49,0.36,0.74,15.30,4.66,5.04,3.48,87.30,34.06,57.53,96.12,75.12,72.92,248.80,446.67,24.78,8.02,4.68,4.09,27.79,4.02,59.30,9.00,0.00,545.67,1283.44,47.45,85.94,7.00,16.16,1.44,0.27,32.84,0.40,0.93,3.16,437.63,102.04,42.68,55.50,530.60
Recife,PE,63.22,218.84,1588376.00,41773.05,67.33,70.72,51.62,71.17,75.73,87.50,34.91,79.74,82.26,53.35,67.52,47.64,54.03,35.17,69.66,65.99,1043.65,144.18,13.40,3.94,89.15,57.12,91.19,54.91,87.50,74.90,84.00,98.25,116.57,6.12,48.23,27.03,0.56,0.94,18.30,5.48,4.70,3.34,99.95,35.64,76.06,97.96,82.78,74.50,255.69,443.31,32.47,5.95,1.26,0.00,4.96,7.91,48.42,7.00,9.00,582.36,1462.19,59.93,98.16,11.00,11.03,2.93,0.27,91.52,0.43,0.49,73.04,539.04,366.15,214.32,224.91,556.48
Ingazeira,PE,62.55,243.86,4975.00,13157.19,78.51,62.71,46.42,78.48,60.33,91.93,83.30,77.49,63.72,60.56,49.06,37.28,51.76,65.01,31.65,96.85,677.36,120.65,18.80,3.71,50.81,58.04,60.43,22.58,58.27,97.97,94.85,97.76,0.00,0.00,0.00,16.27,1.56,4.38,20.96,4.18,4.97,4.20,64.31,4.99,58.59,97.43,77.48,70.96,179.34,322.41,25.26,4.08,8.09,16.08,48.20,0.46,52.50,7.00,4.00,972.68,1205.30,48.41,58.47,4.00,14.74,2.95,0.27,4.89,0.22,0.94,,49.72,204.78,46.97,66.55,468.20
Gravatá,PE,62.47,507.36,92429.00,17718.93,71.22,69.47,46.72,76.78,82.76,87.21,38.14,78.59,78.09,58.69,62.51,56.34,50.72,51.85,27.97,76.84,761.05,147.64,11.17,2.84,79.80,82.21,98.02,34.20,75.77,89.22,77.19,95.83,92.14,6.42,42.22,11.54,0.74,0.26,20.16,5.90,4.33,3.10,94.68,39.53,62.27,95.86,77.89,72.63,243.65,391.47,19.93,5.08,2.04,0.76,47.09,7.98,44.41,13.00,8.00,805.94,1554.19,64.51,79.09,5.00,14.68,0.71,0.28,4.36,0.35,0.74,17.24,409.60,272.37,31.45,40.07,531.90
Nazaré da Mata,PE,62.33,130.57,32187.00,24142.88,67.99,68.63,50.37,74.17,79.96,91.81,26.02,81.43,74.52,53.91,64.67,55.18,53.39,59.52,33.41,81.53,1208.48,170.20,14.40,3.16,79.22,79.61,94.66,39.94,76.09,90.73,90.74,98.68,131.07,5.89,50.90,13.04,0.28,0.08,16.60,3.34,4.58,3.96,99.69,24.27,52.19,96.13,63.25,72.31,333.41,454.86,16.08,6.21,1.90,0.00,17.63,7.56,48.43,12.00,8.00,1012.13,2143.36,40.19,85.56,5.00,15.24,2.15,0.26,2.50,0.00,0.58,,148.47,41.64,33.73,44.36,583.10
Garanhuns,PE,62.21,458.96,151803.00,25260.60,71.93,65.92,48.79,73.63,80.83,94.05,39.22,79.66,80.64,54.18,49.21,49.15,53.06,48.04,44.91,80.67,657.62,173.56,13.58,3.71,80.88,75.13,98.89,41.30,84.02,95.11,90.22,99.10,80.58,6.34,37.26,15.56,0.30,1.00,20.32,5.30,4.67,3.34,97.48,42.94,67.00,96.50,66.89,72.69,263.75,481.46,23.61,6.58,2.63,0.07,56.21,3.21,61.67,5.00,11.00,491.28,1087.64,46.74,74.70,6.00,12.86,4.01,0.27,9.91,0.47,0.77,60.05,668.36,396.61,64.76,76.68,558.96
Abreu e Lima,PE,62.20,126.38,104248.00,20429.89,70.01,68.34,48.25,68.73,68.46,88.08,54.76,78.23,76.43,54.74,63.95,34.28,56.93,77.61,24.17,51.26,991.02,155.73,14.19,3.20,85.14,30.56,84.90,54.67,85.40,78.61,82.97,98.56,71.03,1.49,24.97,2.91,1.04,0.22,21.42,5.20,4.26,3.20,99.55,14.26,68.38,97.54,79.11,72.46,245.68,437.40,25.98,4.65,1.11,0.00,13.83,7.78,53.50,3.00,5.00,335.89,1044.50,51.31,103.32,4.00,14.46,0.84,0.27,13.47,0.31,0.97,,7.06,11.18,27.10,31.95,516.73
Arcoverde,PE,62.07,343.92,82487.00,18228.58,73.92,67.50,44.80,74.97,76.93,93.26,50.51,80.51,72.77,55.58,61.15,42.09,58.34,44.12,34.64,89.36,1043.41,164.67,15.50,3.67,75.88,84.26,98.29,57.83,83.10,96.64,90.26,96.27,42.97,4.72,23.61,22.12,0.36,0.50,17.92,6.32,5.02,3.38,96.54,15.78,56.22,95.61,82.10,72.95,231.88,443.71,26.27,4.49,2.28,0.85,34.00,8.59,51.50,10.00,0.00,230.46,446.91,37.63,100.89,9.00,15.44,1.82,0.28,18.56,0.40,0.30,27.89,787.95,205.04,46.94,56.33,531.18
Afogados da Ingazeira,PE,62.05,378.03,42672.00,15255.93,78.43,66.66,41.05,71.98,80.33,96.02,65.37,79.17,74.50,56.14,56.81,25.60,56.06,51.48,31.08,91.46,1282.46,159.28,15.71,5.24,80.33,83.33,96.57,45.51,76.09,98.55,99.02,99.42,24.40,0.93,14.40,25.64,0.38,0.44,22.32,7.38,5.31,5.52,92.11,21.39,64.47,95.91,74.59,73.39,237.49,467.83,24.67,5.28,2.45,2.81,37.88,6.14,55.39,4.00,0.00,468.57,1206.35,49.13,103.85,9.00,13.37,1.19,0.27,5.79,0.46,0.72,54.05,604.77,106.05,34.96,45.99,546.25
