Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Camaragibe,PE,59.55,51.32,156112.00,15607.72,61.50,68.59,48.57,66.38,55.72,81.63,42.25,78.93,78.98,52.09,64.34,46.14,53.02,65.90,29.21,48.69,980.38,166.60,15.53,3.55,67.10,20.20,78.24,69.35,70.67,70.90,72.06,98.57,91.40,3.91,35.40,3.60,0.76,0.38,20.86,5.12,4.59,4.50,100.00,27.21,73.29,94.73,84.44,73.28,265.29,477.40,29.40,3.22,0.99,0.00,8.27,8.50,55.76,8.00,8.00,708.09,1898.35,67.21,94.51,6.00,11.40,1.83,0.28,17.58,0.46,0.71,7.09,38.58,22.00,35.10,44.75,525.50
Moreno,PE,59.54,194.20,57654.00,19396.90,63.67,67.80,47.16,71.21,66.59,79.94,36.95,76.62,73.16,54.84,66.56,38.02,53.33,65.75,31.56,74.38,827.18,171.84,16.02,3.77,67.25,49.36,81.68,43.71,67.14,71.78,71.54,95.03,102.75,6.65,47.66,10.71,1.14,2.04,20.36,5.34,3.84,2.42,92.46,25.65,53.19,96.16,72.75,73.28,269.24,479.56,23.70,3.79,1.34,0.69,12.65,10.15,50.99,4.00,6.00,428.41,1442.92,36.26,84.69,3.00,16.72,0.46,0.29,5.34,0.31,0.77,15.04,31.94,20.49,40.72,51.51,522.20
Santa Maria da Boa Vista,PE,59.52,3000.77,42782.00,18276.21,68.81,61.25,48.49,78.66,54.27,78.95,63.36,70.98,65.57,59.67,48.80,63.46,49.29,58.34,22.86,84.69,489.51,96.29,17.65,3.35,72.30,49.59,44.51,57.50,42.13,87.02,68.03,92.79,37.08,1.91,32.47,19.28,0.56,4.38,30.16,6.90,3.94,11.14,72.02,19.89,46.76,96.10,71.10,71.39,248.32,290.52,22.74,4.24,5.89,8.88,19.86,1.69,65.88,12.00,12.00,597.36,1480.04,59.87,87.91,7.00,19.94,0.44,0.29,0.76,0.31,0.81,6.67,245.20,84.69,26.03,37.34,490.00
Macaparana,PE,59.50,108.05,24642.00,14577.06,71.10,62.06,45.35,78.39,75.51,91.98,38.50,80.36,60.79,46.31,60.79,29.34,52.86,68.76,30.44,94.00,838.11,191.39,11.58,2.54,77.38,80.21,76.20,32.03,74.76,95.94,85.87,98.93,92.83,7.99,40.56,7.30,0.36,0.10,15.64,5.92,4.43,2.22,77.33,5.70,31.32,95.27,78.58,71.70,290.59,550.93,27.54,8.93,1.89,0.00,26.31,4.73,49.99,5.00,0.00,398.37,390.04,57.20,94.65,5.00,15.54,0.19,0.27,0.59,0.18,0.99,,71.96,29.75,32.73,48.09,539.48
Quipapá,PE,59.49,230.62,17731.00,11926.17,70.26,60.85,47.37,73.08,71.22,88.74,47.99,75.99,67.03,49.44,50.94,41.08,51.01,64.31,33.10,75.20,665.69,167.83,14.11,3.48,61.19,68.12,90.75,38.53,65.00,97.06,84.12,94.08,50.46,10.54,31.97,19.62,1.38,1.34,20.90,8.68,4.21,1.48,92.19,6.86,42.04,95.47,64.55,69.57,297.32,453.84,25.60,4.27,4.20,2.82,36.24,2.39,60.08,7.00,6.00,700.94,1439.05,61.01,86.79,1.00,17.54,0.84,0.30,0.70,0.00,0.40,,27.77,27.14,44.23,57.35,517.00
Buenos Aires,PE,59.43,93.19,13276.00,12294.14,72.57,64.70,41.02,76.01,59.72,91.69,62.87,78.64,65.28,54.60,60.28,15.70,48.70,81.31,18.36,88.72,906.27,181.17,9.13,3.71,73.24,12.96,76.34,51.96,72.08,97.71,92.68,93.80,12.76,2.97,34.71,7.55,0.80,0.00,21.16,6.48,4.34,1.72,86.64,6.83,40.41,95.45,49.45,71.66,280.89,455.26,15.70,16.61,1.60,0.00,19.73,2.11,50.00,1.00,0.00,974.12,1885.75,62.54,85.83,1.00,17.58,0.12,0.29,0.00,0.67,0.48,,20.78,0.00,16.83,24.16,492.40
Vicência,PE,59.36,227.91,27151.00,22672.50,66.16,62.46,49.44,77.59,57.84,91.88,37.32,77.37,67.81,47.63,57.05,38.02,52.29,75.84,31.61,90.95,695.22,171.47,15.28,2.68,72.59,46.28,60.97,62.22,71.40,93.53,91.11,98.34,95.15,1.37,57.99,10.76,0.46,0.00,23.40,7.20,4.16,3.14,93.18,5.30,48.33,94.14,66.57,70.26,311.29,470.87,26.77,7.08,3.25,1.84,24.46,2.70,52.68,4.00,6.00,223.11,1562.16,56.28,99.60,3.00,16.83,0.45,0.28,0.00,0.36,0.85,,26.36,7.20,45.43,59.92,488.58
Cabo de Santo Agostinho,PE,59.35,445.39,218049.00,72908.47,60.47,69.17,48.41,64.09,74.01,85.16,18.63,78.96,78.04,54.92,64.76,57.38,54.19,45.83,36.22,60.41,1041.57,189.07,13.21,5.50,77.59,62.01,88.84,44.53,70.60,78.47,80.87,97.40,194.53,11.79,76.06,10.86,0.24,0.42,22.08,5.82,4.38,2.84,97.76,25.96,68.98,96.83,50.00,73.74,289.30,478.28,27.20,4.10,2.08,0.23,9.64,6.12,48.16,12.00,8.00,438.34,935.58,56.13,84.66,8.00,16.23,1.75,0.27,54.40,0.38,1.00,10.87,658.92,565.03,56.03,60.31,515.30
Floresta,PE,59.34,3637.25,31702.00,18398.18,71.53,60.45,46.04,72.18,70.46,79.00,64.49,74.91,67.67,52.88,46.36,43.80,49.17,58.26,32.95,76.97,766.49,151.68,16.05,4.16,55.20,76.89,92.25,41.10,56.75,89.14,67.87,86.47,23.40,2.52,18.44,29.26,0.92,2.36,29.80,6.80,4.42,4.60,72.11,34.80,44.74,95.22,84.07,71.52,232.32,458.06,25.42,7.00,12.27,4.10,24.06,2.54,67.10,5.00,10.00,1437.46,2342.62,37.92,62.37,6.00,20.35,4.98,0.29,1.52,0.31,1.00,5.55,232.93,222.97,40.59,61.50,515.26
Glória do Goitá,PE,59.33,234.49,30420.00,20582.31,69.02,66.04,42.93,75.10,60.27,89.13,51.57,80.17,67.96,54.71,61.33,28.35,56.69,62.49,24.21,78.10,745.65,146.93,18.65,2.67,54.07,53.54,64.16,30.29,65.97,89.67,87.14,98.03,71.13,3.89,39.58,12.52,0.32,0.40,20.34,5.06,4.30,0.44,95.33,3.47,42.73,97.24,82.00,70.88,264.25,405.34,18.73,6.60,1.94,2.96,19.87,3.05,47.93,3.00,3.00,525.04,1159.25,61.77,105.90,6.00,14.73,0.73,0.30,1.44,0.73,0.90,166.67,89.42,51.36,23.32,31.81,528.36
Caetés,PE,59.30,294.95,30571.00,16460.44,65.61,62.63,49.66,74.94,37.57,86.64,63.29,76.34,55.29,58.46,60.44,39.03,48.56,84.71,26.36,87.23,548.15,149.73,17.59,3.87,21.34,35.21,27.48,19.52,36.18,93.51,86.58,99.55,29.66,2.68,23.97,23.94,0.34,0.10,24.72,9.92,4.40,3.10,67.48,4.80,12.31,98.28,54.42,68.94,213.73,411.14,17.37,4.64,3.09,0.00,13.35,5.26,53.00,7.00,5.00,671.61,1612.83,60.82,87.94,3.00,13.64,0.36,0.32,0.71,0.36,0.96,,9.24,0.00,34.80,43.29,494.12
Tracunhaém,PE,59.28,137.32,14439.00,13752.34,69.04,67.34,41.47,73.65,66.17,91.66,44.66,81.39,68.18,56.29,63.53,23.81,58.03,65.12,18.90,91.09,782.17,188.97,19.72,3.34,70.95,29.57,76.89,30.18,80.23,87.23,90.63,99.31,83.64,0.00,36.39,11.17,0.46,0.00,14.70,4.74,4.78,3.70,94.85,4.86,44.57,96.40,31.25,71.58,288.09,492.64,22.02,1.39,1.70,2.08,12.58,4.55,48.32,5.00,0.00,974.12,1885.75,62.54,85.83,4.00,17.28,3.37,0.27,2.79,0.44,0.29,,68.34,28.86,15.05,22.80,507.58
Betânia,PE,59.26,1256.14,11961.00,10492.27,68.30,60.43,49.03,75.13,48.25,84.78,65.05,80.27,59.19,47.60,54.67,47.46,49.22,70.34,29.11,95.66,753.40,164.06,23.96,3.17,40.09,32.21,50.00,29.10,29.55,94.94,84.75,97.06,28.11,3.29,24.70,8.26,0.10,0.28,27.82,5.64,5.23,2.68,65.54,5.03,35.73,96.99,78.33,69.53,280.18,407.54,25.80,14.79,5.64,1.67,16.70,0.85,54.38,13.00,2.00,355.07,799.76,65.87,74.82,4.00,16.54,2.06,0.30,0.90,0.89,0.92,,173.03,111.90,34.31,59.27,490.52
Ibimirim,PE,59.23,1929.34,28825.00,14756.46,71.79,57.96,47.94,80.85,54.50,87.92,63.88,78.89,52.95,55.16,44.83,50.35,48.27,72.59,20.56,86.02,826.74,97.75,13.12,2.88,44.72,47.35,61.54,34.53,64.86,93.17,83.00,95.29,30.69,4.12,30.06,15.37,0.26,0.34,24.44,7.02,4.99,4.16,57.33,4.36,36.91,84.89,59.61,67.33,209.39,332.81,26.31,4.91,10.95,2.78,33.99,0.34,65.07,8.00,9.00,700.02,701.97,62.38,93.47,2.00,17.97,0.74,0.30,1.11,0.55,0.85,1.51,23.49,41.64,17.73,25.31,514.62
Pombos,PE,59.19,203.10,26942.00,23600.51,64.07,65.70,47.80,73.18,65.66,81.88,35.58,74.24,77.46,54.70,56.42,37.25,54.02,71.64,28.29,65.56,793.58,168.63,11.40,2.76,58.45,52.34,79.73,33.19,48.93,83.26,75.15,96.45,100.70,7.33,45.16,24.84,4.72,0.20,18.56,5.62,3.84,1.18,92.25,40.65,60.15,96.45,79.25,72.42,248.89,445.96,25.42,3.75,3.87,3.34,17.54,3.16,55.62,7.00,4.00,777.64,1003.41,67.02,96.70,2.00,12.76,0.77,0.29,0.45,0.55,0.44,,17.67,38.11,33.08,45.33,518.22
Tuparetama,PE,59.18,188.43,8261.00,11504.90,77.22,61.17,39.17,72.41,77.90,95.50,63.06,81.12,67.06,42.23,54.27,17.24,51.60,64.51,23.32,94.20,674.72,144.48,26.42,4.50,72.88,70.94,96.49,35.82,73.27,98.14,98.96,99.36,35.50,4.72,21.80,14.54,0.42,1.04,18.62,7.52,5.58,2.10,82.90,11.24,51.79,94.21,90.43,69.95,304.88,503.07,31.06,9.69,4.19,4.84,37.67,3.21,53.65,1.00,0.00,972.68,1205.30,48.41,58.47,5.00,16.44,2.69,0.28,1.91,0.67,0.55,,335.24,38.68,21.38,31.00,524.76
Moreilândia,PE,59.16,404.29,10839.00,9822.12,69.51,64.50,43.48,78.98,46.37,87.26,65.43,80.45,66.61,64.33,46.60,29.24,50.49,66.66,27.54,90.72,492.13,101.12,14.90,4.08,47.81,11.15,50.29,35.67,50.72,91.63,87.48,96.86,7.43,7.32,10.97,1.81,0.62,0.24,17.94,5.40,4.58,1.54,79.06,14.84,45.81,97.26,53.36,71.05,198.03,303.73,16.31,9.14,8.50,38.75,47.34,2.58,58.08,3.00,4.00,764.29,1001.15,73.75,136.18,2.00,19.61,0.40,0.29,1.13,0.44,0.87,,85.39,128.62,33.87,45.72,505.63
Salgadinho,PE,59.13,87.22,5478.00,13986.67,67.33,63.11,46.94,81.57,27.36,79.73,80.67,83.08,64.08,53.26,52.01,37.53,54.77,71.85,23.60,95.95,508.85,126.75,16.42,2.48,23.89,1.62,41.14,67.98,26.84,85.16,74.38,97.63,0.00,0.00,3.20,20.70,0.04,0.00,16.84,3.76,4.87,0.96,86.45,0.53,40.00,95.78,62.05,68.77,285.51,362.09,25.43,0.00,3.42,1.83,59.93,1.41,50.61,9.00,3.00,1071.92,1306.22,72.53,86.54,3.00,11.27,2.83,0.31,0.00,0.67,0.90,,58.29,84.93,21.71,30.60,528.31
Feira Nova,PE,59.12,107.73,22222.00,12354.51,68.80,67.16,41.42,76.20,66.14,95.04,37.81,82.30,70.27,53.25,62.80,18.79,54.11,59.81,32.96,89.35,1120.14,160.59,9.61,4.03,71.03,5.83,92.39,35.45,83.04,97.25,92.71,99.10,80.34,10.51,31.72,11.79,0.12,0.00,17.50,3.60,4.68,1.74,99.54,7.86,46.66,96.16,67.40,73.43,257.99,479.87,26.87,9.96,1.90,1.35,17.36,4.30,47.64,2.00,0.00,910.60,1159.07,62.78,87.34,3.00,15.20,0.00,0.28,1.33,0.55,0.55,,274.98,222.66,46.11,55.12,515.42
Itapetim,PE,59.09,411.88,14236.00,11960.45,76.99,59.49,40.78,80.63,69.61,91.08,66.64,76.62,62.64,44.66,54.04,20.98,52.75,64.80,24.57,96.22,377.59,160.40,11.68,2.83,61.05,64.52,77.37,23.95,62.87,96.83,86.44,99.76,27.53,0.00,29.42,11.22,0.18,4.68,23.88,6.12,5.13,7.42,80.91,1.46,40.69,94.76,76.29,67.25,266.87,482.73,27.36,8.41,5.42,7.02,26.89,0.23,51.42,2.00,0.00,700.03,884.11,53.23,110.23,5.00,15.01,0.77,0.27,0.95,0.44,0.56,,107.53,59.61,25.09,33.18,524.42
Ribeirão,PE,59.00,289.57,33843.00,17777.65,64.47,63.81,48.72,70.68,72.40,92.20,22.59,76.67,74.90,44.83,58.84,26.06,54.74,89.55,24.51,85.17,751.02,178.73,12.20,5.54,77.06,81.91,78.59,51.22,78.95,91.42,93.16,96.77,148.75,10.67,54.57,17.91,1.50,0.28,21.26,6.74,4.09,2.80,92.23,35.26,55.17,94.99,83.77,67.68,316.62,494.89,21.13,4.45,2.83,0.89,10.51,3.93,55.65,3.00,4.00,1245.77,2580.73,72.64,109.98,4.00,19.17,0.24,0.27,0.99,0.31,0.74,,0.00,0.00,28.78,40.02,496.21
Aliança,PE,59.00,272.77,37349.00,12649.58,71.37,64.76,40.85,76.24,67.38,88.48,53.39,75.43,71.83,52.53,59.26,18.84,49.37,70.32,24.88,89.83,794.55,195.54,13.72,2.72,71.19,40.99,84.23,43.84,75.45,91.44,76.23,98.33,60.08,3.11,31.25,16.96,0.62,0.02,30.20,5.54,3.61,3.80,99.03,20.44,44.18,95.70,82.07,72.93,320.13,485.00,17.19,5.83,1.80,1.61,18.42,2.04,51.73,2.00,0.00,591.07,1866.03,66.39,102.78,4.00,18.27,0.36,0.29,0.15,0.18,0.99,,75.90,13.59,31.63,39.06,495.12
Frei Miguelinho,PE,58.99,213.74,14055.00,10816.93,69.09,63.05,44.84,81.22,38.19,88.65,68.29,75.21,65.42,55.64,55.92,32.76,51.63,75.37,19.62,93.15,952.43,115.77,17.10,2.27,17.30,10.23,44.30,15.96,49.34,95.37,85.89,99.40,6.28,2.79,9.87,15.53,2.90,0.04,27.54,6.34,4.30,1.78,87.01,3.96,46.06,93.82,48.23,70.47,256.07,340.57,30.75,4.24,3.24,0.00,53.25,5.47,50.67,4.00,6.00,977.24,2609.63,67.62,96.75,0.00,12.55,1.01,0.31,0.00,0.44,0.49,,63.81,0.00,16.28,24.11,509.82
Araripina,PE,58.99,2037.39,90504.00,19642.37,67.83,64.08,45.06,75.67,58.68,83.82,53.13,78.49,69.44,54.87,53.51,35.63,49.41,60.25,34.96,86.91,1207.50,135.33,16.39,3.65,45.42,47.88,69.98,28.12,49.72,89.63,74.52,97.29,47.22,3.99,23.62,30.84,0.92,2.10,15.10,6.14,4.39,2.66,73.78,39.85,44.42,96.55,73.00,72.12,285.54,407.97,18.54,10.13,3.54,10.28,44.55,4.51,55.32,7.00,4.00,776.48,3064.41,60.06,90.55,5.00,19.46,1.16,0.30,2.62,0.35,0.46,32.79,71.06,16.38,42.23,58.46,543.36
Agrestina,PE,58.97,200.37,24680.00,14913.94,74.64,62.68,39.60,73.92,84.48,94.83,45.35,75.63,69.03,48.85,57.20,16.45,51.75,66.91,23.29,82.55,1474.08,197.80,14.03,2.53,81.58,83.84,96.54,27.86,85.72,96.95,90.74,98.99,66.43,4.74,38.42,35.15,0.20,0.76,26.90,8.08,4.38,6.48,95.39,4.77,50.71,94.90,69.94,70.57,329.29,499.44,21.58,3.27,3.99,0.00,17.51,1.20,51.44,1.00,0.00,564.03,1916.61,73.30,110.47,3.00,14.23,1.35,0.30,6.54,0.18,0.84,,49.15,43.69,26.96,34.91,498.78
Granito,PE,58.93,521.69,7217.00,12618.96,74.48,58.68,43.62,78.56,54.05,85.15,80.16,76.55,52.55,60.81,44.81,41.14,48.41,55.53,29.40,95.69,820.25,95.25,27.35,2.88,51.33,31.53,60.19,33.82,51.41,90.24,78.13,97.61,0.00,0.00,5.56,22.27,0.58,0.08,22.48,6.74,4.62,9.62,61.13,1.32,31.49,85.82,71.81,71.40,217.11,326.71,20.39,5.57,16.34,20.78,60.77,3.00,56.41,7.00,7.00,891.05,2926.91,63.50,97.08,3.00,20.21,4.44,0.29,0.00,0.67,0.00,2000.00,191.62,0.00,33.28,45.06,532.25
Lagoa Grande,PE,58.85,1850.07,24951.00,28600.42,73.04,63.54,39.96,74.34,67.08,91.04,59.71,76.61,75.07,49.79,52.69,29.17,48.43,54.89,27.35,96.57,591.81,125.00,23.06,4.92,79.20,84.26,63.36,59.99,71.96,93.05,91.85,95.82,40.41,1.61,31.55,41.27,0.78,4.66,18.44,7.00,4.77,4.42,85.22,35.64,76.94,87.66,81.53,67.28,272.31,357.42,22.45,7.27,7.33,13.23,17.46,0.84,55.46,6.00,0.00,527.64,948.01,57.64,104.08,2.00,19.77,2.02,0.29,2.45,0.73,0.83,7.84,1074.61,368.93,34.01,50.80,490.22
Panelas,PE,58.79,380.43,23337.00,10281.74,64.16,63.37,48.85,72.19,62.21,88.56,33.69,80.80,67.20,48.92,56.57,42.92,50.61,69.59,32.28,80.23,911.00,164.22,20.39,3.41,56.16,61.09,67.75,35.16,58.39,87.97,90.51,98.30,99.58,4.88,45.01,32.61,0.34,0.02,18.34,9.02,6.11,6.34,89.03,4.37,51.94,93.79,75.70,71.68,354.94,436.94,21.08,8.37,3.46,2.57,33.05,3.61,52.02,4.00,12.00,1768.46,2721.73,61.68,49.70,2.00,14.97,0.21,0.29,3.33,0.18,0.84,,21.31,50.59,34.37,49.55,554.24
Catende,PE,58.77,208.59,33086.00,11789.73,70.46,62.28,43.58,71.64,75.91,92.32,41.97,74.93,66.57,50.89,56.72,43.95,48.47,65.89,16.02,71.97,826.13,202.90,12.62,3.00,83.33,91.21,84.66,60.24,75.65,97.02,87.96,97.52,94.63,4.46,36.71,9.39,1.52,0.14,26.88,8.44,4.09,2.56,90.84,1.51,49.39,93.71,69.68,70.59,289.73,532.72,19.74,2.92,1.65,1.21,21.82,2.49,57.10,6.00,8.00,575.13,1417.95,59.99,113.78,3.00,20.71,0.75,0.28,1.16,0.00,0.92,,58.98,39.57,14.95,14.63,491.92
Lagoa do Carro,PE,58.74,69.24,18804.00,17438.90,63.29,63.60,49.33,77.31,48.71,90.46,36.69,78.61,63.55,50.01,62.23,55.35,56.35,70.07,15.54,99.19,692.29,192.45,17.90,2.69,48.43,2.68,63.21,37.94,81.69,86.73,85.61,98.97,119.58,6.29,48.87,15.15,0.40,0.00,17.90,5.66,4.24,5.52,98.73,1.51,42.45,83.56,79.70,72.31,275.17,477.87,28.33,7.57,1.75,1.60,15.38,4.80,50.47,12.00,7.00,395.53,978.90,66.80,126.85,4.00,16.03,0.70,0.29,0.76,0.18,0.84,,33.39,25.59,10.01,13.17,503.63
Angelim,PE,58.67,118.72,10591.00,17649.61,72.04,60.60,43.38,78.99,67.98,91.97,49.23,72.53,69.48,47.32,53.08,26.50,48.58,67.11,31.32,94.82,896.27,140.27,15.15,3.15,63.68,56.49,77.21,29.95,65.37,96.03,92.87,97.91,53.36,3.71,41.52,22.66,0.14,0.90,34.72,10.38,4.29,7.48,93.22,12.85,46.52,95.86,74.89,70.08,339.61,421.70,21.74,11.33,4.55,0.94,42.86,0.55,50.81,7.00,0.00,1307.11,1363.00,78.32,81.47,4.00,20.23,0.96,0.30,0.00,0.00,0.70,,29.77,25.51,44.17,50.40,512.16
Jatobá,PE,58.66,277.86,14477.00,12683.15,73.69,60.21,42.09,79.67,67.31,80.55,67.22,70.81,64.37,56.43,49.25,35.21,52.93,52.29,27.94,96.09,836.74,131.04,13.17,3.54,62.48,69.35,91.15,60.97,57.95,70.72,79.37,95.87,18.43,0.00,17.97,20.74,0.36,6.16,34.42,9.74,4.75,8.34,76.89,9.66,44.35,96.06,67.66,71.52,244.89,366.44,25.22,6.91,4.04,0.00,30.46,0.24,62.82,9.00,0.00,640.35,812.30,52.21,82.62,5.00,20.26,3.95,0.28,1.34,0.22,0.90,27.91,326.95,252.81,34.48,50.56,496.90
Flores,PE,58.63,995.56,20776.00,11825.13,71.62,60.70,43.57,80.28,55.67,90.22,60.33,78.49,56.21,53.76,54.34,34.50,49.57,62.34,27.88,95.58,662.05,122.68,19.60,2.59,45.22,46.39,62.23,29.99,42.32,97.09,96.11,98.68,30.01,7.47,25.49,24.55,0.26,0.88,18.94,9.28,4.97,3.68,57.69,3.22,35.13,95.49,68.16,69.67,254.60,423.29,19.91,7.59,4.92,6.74,25.32,0.50,52.23,9.00,0.00,777.04,1132.23,49.98,94.95,3.00,16.76,1.22,0.30,2.74,0.18,0.00,,33.71,21.03,30.04,47.95,515.32
Joaquim Nabuco,PE,58.59,122.61,13416.00,12260.81,72.85,60.21,42.72,72.24,72.48,90.77,55.93,73.92,66.71,43.32,56.89,22.34,49.12,81.75,17.66,83.91,811.43,209.54,12.30,3.81,76.58,82.71,79.20,51.54,79.48,91.36,89.37,95.13,46.19,0.00,31.64,14.40,0.90,0.00,26.00,12.56,4.14,2.06,90.38,3.68,44.33,96.20,91.40,65.55,227.09,572.01,24.76,2.86,2.04,3.73,15.84,1.54,55.97,1.00,0.00,305.12,666.25,39.73,103.64,7.00,21.97,2.14,0.31,0.00,0.67,0.40,,14.17,0.00,16.89,22.33,487.96
Altinho,PE,58.56,450.18,21134.00,14290.81,71.65,64.96,39.07,79.53,76.38,93.31,37.39,78.51,66.90,56.73,57.72,32.16,49.06,55.15,19.92,84.49,927.27,132.98,16.51,1.83,68.10,78.17,87.21,27.19,65.33,97.85,95.80,98.46,97.89,5.55,45.68,7.48,0.54,0.46,26.16,5.22,4.37,1.86,84.88,20.40,36.02,96.63,65.84,72.54,276.91,388.29,18.01,12.13,5.57,0.00,22.13,3.37,50.23,9.00,0.00,888.39,1504.81,71.19,105.04,4.00,17.79,0.76,0.29,0.26,0.36,0.74,142.86,291.98,23.78,17.97,25.38,505.68
São José do Belmonte,PE,58.54,1474.09,36890.00,14364.41,69.72,63.87,42.04,78.07,57.12,88.64,55.05,82.49,61.99,56.92,54.06,34.16,48.70,57.62,27.70,85.29,809.09,132.85,10.27,3.59,55.91,29.24,65.21,32.09,54.16,97.46,91.67,92.78,45.41,1.08,23.64,20.34,0.34,0.08,14.56,5.10,4.86,0.64,66.48,12.19,45.33,94.88,72.61,71.12,248.34,358.36,19.90,9.33,5.02,20.87,29.62,5.09,56.34,3.00,6.00,435.06,1796.19,53.79,83.05,4.00,15.88,1.54,0.29,0.78,0.31,0.40,4.34,137.69,65.55,35.24,40.95,515.52
Cabrobó,PE,58.54,1658.62,31762.00,16881.02,73.44,61.50,40.68,72.58,73.19,80.16,67.84,81.37,69.39,47.38,47.86,36.83,50.69,51.54,23.66,87.37,539.88,149.80,20.48,4.56,70.39,76.01,86.37,43.50,55.70,83.51,72.81,90.78,19.91,3.68,11.93,18.22,0.46,0.78,13.66,4.98,4.70,2.18,76.86,35.53,56.11,89.72,67.22,71.39,273.92,490.68,29.59,14.46,10.27,5.35,24.41,0.67,62.15,8.00,3.00,888.52,1564.63,54.21,73.32,4.00,18.00,1.20,0.27,8.39,0.15,0.69,14.36,336.65,114.94,28.67,42.38,479.98
Tupanatinga,PE,58.53,847.75,28141.00,9805.30,70.28,60.92,44.39,78.83,51.85,83.60,66.84,76.40,52.94,59.85,54.51,29.09,51.54,67.87,29.05,93.82,673.80,109.43,18.86,3.54,44.65,49.30,51.47,33.96,33.94,92.07,84.39,94.61,27.61,1.49,16.51,11.23,0.42,0.00,29.40,7.82,4.65,5.50,49.53,12.92,24.59,93.04,79.97,69.82,176.96,360.86,20.49,3.76,5.33,2.84,35.06,7.03,58.24,7.00,0.00,624.24,2441.29,55.03,92.26,2.00,18.84,0.04,0.33,0.28,0.55,0.61,,86.19,45.40,32.14,49.32,520.61
Custódia,PE,58.48,1382.06,39609.00,19177.69,69.86,63.15,42.43,78.18,52.18,88.84,60.24,79.91,63.71,53.79,55.17,33.54,54.98,58.73,22.48,95.66,820.94,127.47,14.18,4.15,41.05,63.88,59.54,48.98,42.03,96.44,91.28,98.46,35.43,7.06,25.89,22.17,0.10,1.48,16.62,6.24,5.31,7.44,75.60,10.34,44.76,94.52,82.01,67.33,200.74,364.27,22.61,6.20,8.72,4.80,30.99,6.44,54.13,9.00,0.00,793.30,1703.97,51.34,91.36,2.00,15.47,2.57,0.30,5.16,0.18,0.56,,161.24,104.11,22.98,31.96,507.27
João Alfredo,PE,58.45,134.15,28842.00,12304.24,67.35,61.94,46.05,78.69,50.16,87.04,53.51,81.92,64.63,45.78,55.43,43.33,53.42,63.72,23.74,92.23,742.51,162.02,16.15,2.39,49.64,38.89,64.89,62.10,41.07,89.60,91.09,98.86,60.34,3.91,30.72,8.18,0.30,0.12,17.38,5.20,4.91,1.14,81.76,2.60,49.04,94.34,89.89,68.18,286.71,454.57,24.12,7.53,1.83,0.35,41.15,2.76,54.10,7.00,8.00,1071.92,1306.22,72.53,86.54,4.00,14.00,0.22,0.29,0.72,0.18,0.29,,53.51,22.66,19.10,27.64,544.92
