Código IBGE,Município,UF,Área (km²),População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Consumo de Alimentos Ultraprocessados,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
2601052,Araçoiaba,PE,96.36,19936.0,8179.46193820225,53.566197256875,57.9767148919919,63.5502680920079,39.1716087866251,68.0413544884653,33.6160397850197,84.5940817254939,45.6553835689886,77.8685939658285,62.5800907843732,51.3882704915429,62.3641171262869,23.8551371022664,47.5525683682214,63.4123143213293,21.8664153546834,83.8747231410156,655.83296023003,218.0119116779,28.2418503388307,3.14986728790911,43.0081587159098,1.64201250090767,29.14375,48.77125,82.6141970990616,78.5675985638147,75.3741162381379,95.0041197670399,100.967606226336,3.35987635655007,33.2588473730707,3.89752117653173,0.283333333333333,0.15,4.98333333333333,21.0166666666667,4.15833333333333,2.18333333333333,100.0,0.37,74.1,95.0410333333333,81.4443947191766,70.87,2.45398773006135,525.217696803794,22.4378366617098,1.29917372551058,0.415676363439391,1.47586071087576,0.0,48.33,9.66480767230663,1.0,7.0,89.8333333333333,1461.96136363636,553.746711164358,69.4285714285714,2.0,17.2400649198244,0.312075010535188,0.532017006703737,2.21447423770908,0.181818181818182,0.923086148071307,0.0,135.067029533313,139.433551198257,28.2604877701923,39.1311668631083,466.050590949423
2601102,Araripina,PE,2037.394,90104.0,14221.103076445,59.4135434353708,69.5541207920561,62.6449160092649,46.0415935047916,75.6537159595963,57.5277441392743,83.0628367481909,61.9721863211628,75.2097046669886,59.5563223624051,56.9486497053476,58.8649873023182,26.2788020030688,49.1026875010258,70.5362197913661,38.2486647237057,86.9052504372185,1207.50379250189,135.331279262416,14.9130918888877,3.83247781369107,45.0473496735725,49.2522391096414,69.51125,31.96,48.8341819434157,89.3541392900604,73.2258554448275,96.7508248361124,43.9334455038325,3.66652917182272,22.7999247837533,27.9710417450169,1.41666666666667,2.15,7.21666666666667,17.0666666666667,4.39166666666667,3.3,77.02,17.18,61.69,93.6194972222222,62.9863977090879,72.12,2.88903773163653,406.618356900826,14.3772634572054,9.63708160962768,4.51362113054683,4.99522238778341,7.99172621286198,45.26,45.0049055161351,7.0,4.0,82.6,3180.77245670996,850.605077214552,82.6666666666667,5.0,20.7574608736399,0.309196578066135,1.16195068188229,2.33045006522532,0.352941176470588,0.464345159160241,0.0,60.039415188597,35.485191756517,46.2281553265384,58.6424072778167,547.111486640242
2601201,Arcoverde,PE,343.923,82003.0,14929.3964354963,61.9067071827941,77.3135364538574,64.97585488241,43.4307302121149,75.121160779585,79.5601114990905,93.0318254533147,61.5410480834393,78.4784432061657,65.6814917795432,55.1122847234016,60.6311998205294,33.989026535838,56.3382924550261,47.9021828162105,35.4934190413851,89.3566264239357,1043.40906863409,164.67454537272,15.3045330510811,3.59828721462098,75.135781534319,86.0420526632089,98.6275,50.7775,84.2138966104086,96.5480586586618,89.9878828314271,95.5687153544318,49.8330064146742,4.86393151584426,27.0667388446369,23.4107689537187,0.35,0.416666666666667,6.95,19.7666666666667,5.01666666666667,3.5,98.07,8.22,80.18,94.5177944444445,86.5877329192547,72.95,2.45050932154526,450.1231847091,21.9644329692951,4.88796274857863,8.59316817538129,2.69894827016745,0.900414190527643,51.66,37.5123256224363,10.0,0.0,122.222222222222,500.472319347319,297.412214224488,50.2,9.0,16.2230517864171,0.291195349802781,1.82464602634496,13.9520202050828,0.4,0.300876598873774,19.9203187250996,707.215642403755,180.105292324744,45.0167233041298,50.8938441013913,544.695578567457
2601300,Barra de Guabiraba,PE,118.639,12616.0,11732.378241915,59.0001815403898,73.515895376473,60.1611800867094,43.3234691579872,77.6812893099958,84.8826733640043,88.9234119797408,42.5762068521509,77.8480602911256,55.946577795173,45.5698304500428,61.2802518104962,30.6991543295964,45.8881124783032,68.4311944667405,28.2754153573086,87.3378245941964,756.921318136888,175.206966278465,8.27752037362297,3.19262190732642,81.586220870575,88.3224987476981,98.84375,36.07875,85.1516942850264,91.525397611323,79.3647653635739,94.2590270893498,113.341968911917,5.45196816050593,40.7730571638262,11.4164560058713,1.56666666666667,0.4,7.66666666666667,21.8333333333333,5.46666666666667,2.21666666666667,99.36,10.83,53.53,73.3893771428571,70.945945945946,68.54,2.93281460421966,475.41094762668,22.0540657846532,12.2319171491479,2.50465516965738,2.63150773894016,1.63092228655305,48.09,18.1450675727125,6.0,6.0,96.5,704.68437117159,950.044824427445,90.6666666666667,2.0,23.629879471782,0.295953024911032,0.13625517671043,0.0,0.444444444444444,0.355063336952588,0.0,45.7965325482499,142.857142857143,37.4760039666548,49.0312163616792,472.776318475499
2601409,Barreiros,PE,233.433,42056.0,12071.2172436751,59.1701434737415,68.8948562130386,59.5581016094838,49.0574725987021,67.6058539130087,75.7231352165666,91.7592791794574,40.4911565431215,71.5623158745695,63.8006843027255,43.0971859396021,59.772220321038,34.8722558124638,47.0644665791116,73.5157502952072,40.7774177080256,81.5860899705364,894.473603934929,252.648793343638,16.7926936594169,4.27974394853966,82.6155559697048,70.491931154803,91.33,60.225,80.5195993309989,86.72712123764,93.3284453887894,98.2077290812667,102.008288173414,7.15922107674685,45.8612696592807,10.9668253533062,1.01666666666667,1.81666666666667,7.76666666666667,26.8333333333333,3.94166666666667,6.9,99.39,8.28,69.07,94.8375944444445,64.8429387331257,68.82,3.49328214971209,612.591668415324,19.5051868766911,4.9849206151392,2.93096400839685,2.38243118574373,0.747738092270881,53.05,13.4387305512483,7.0,7.0,79.0,1249.92976190476,567.813505399152,88.0,2.0,22.3454361362192,0.289075357740197,0.220259548764986,2.14093828271457,0.153846153846154,0.85343401845303,0.0,15.2730049637266,58.6797066014671,61.555040158309,65.1695906432749,513.719444570922
2601508,Belém de Maria,PE,75.912,10829.0,9255.27220426632,54.9455529227719,65.6016053816378,58.0127898051557,41.2222635815223,75.3738107394697,63.5441934568566,88.059852293761,35.4285650364638,77.3693238478683,54.2936903423527,47.3790808372302,53.0090641931714,25.6405790223258,51.0757388521739,68.0153922444153,20.1573442071741,87.7669977924945,554.313798017778,181.581089707244,19.0820997273081,2.58742761730638,59.7382734980612,67.017421637872,74.85875,51.84875,70.3094447894577,91.8346933115258,82.4441932235708,95.1189915584086,109.694227341286,12.7567291746396,44.3245326652534,7.22682597803044,0.1,0.0,6.93333333333333,22.6,4.575,3.56666666666667,99.71,0.18,53.7,79.4115142857143,94.177642688281,69.95,3.12845049687155,469.766773206698,20.6815929357497,4.81788398535364,0.292528298539733,2.70064312924061,0.0,59.93,28.1630094054471,3.0,4.0,87.5,1937.375,337.746950160821,39.5,5.0,19.3293043045033,0.28830793352148,0.302908280786279,0.565291124929338,0.444444444444444,0.696323134728932,0.0,84.1944125526215,80.5152979066025,18.2187629721876,21.5151515151515,499.523329761905
2601607,Belém do São Francisco,PE,1830.828,18713.0,19717.1452412761,56.2906437211162,70.8531977148444,58.9673508847239,39.0513825637802,72.8082435886277,69.3120386829607,74.4817385116657,66.8107700761236,74.0301342085631,56.5519606034374,50.6822050490215,54.6051036778735,18.5506423150635,50.7874773323989,57.0077301120336,29.8596804956247,76.0433862613053,1171.02947256115,125.109132164868,15.7302760942939,4.20296559779789,62.3760156505261,75.1038462177805,79.37625,39.8775,51.6252287271092,91.2132425147538,56.8980727125577,81.7134788274452,16.4041994750657,2.70065896078643,14.2068739413147,24.5888202830446,0.8,1.36666666666667,7.66666666666667,30.4833333333333,4.65,4.31666666666667,73.89,15.34,53.32,93.6614583333333,87.5,72.06,2.93101643462787,410.551954123549,17.307014787191,19.6710562264357,0.359030781705393,6.10670220697842,1.63925468553631,51.47,31.8329171757946,2.0,5.0,80.5,1441.75552503053,1119.57287436884,91.25,7.0,22.594990983126,0.300161790520773,1.22345223430414,1.12730805098258,0.363636363636364,0.68503730691488,10.4166666666667,159.879010478557,176.706827309237,40.016770899117,49.6727401379798,496.339527265488
2601706,Belo Jardim,PE,647.445,83647.0,33297.3180484656,62.5315940966328,77.080567982924,63.1044232441728,47.4097910628017,76.1003353073184,84.6131502036817,94.123169437787,53.4856169829088,68.6875769875573,67.9985598258429,52.9475916247371,62.783964538554,51.1447311643824,57.1417492684759,47.4576381011503,33.895045717198,88.100163487969,632.357679029036,186.212497730568,13.3677065942243,2.99886274238844,78.6782019291715,92.2105890731751,100.0,37.3675,79.5413238715809,97.7486080884513,91.2632337981357,98.5007368978238,51.017752095372,4.3587756683456,30.4375715345819,16.3507615681638,2.31666666666667,3.35,8.03333333333333,31.4,4.15,7.46666666666667,97.0,21.19,73.7,94.0585777777778,66.8498168498169,71.95,2.59856630824373,520.269046532179,18.3561428142916,8.55270605103952,4.76814218542942,2.07829714540357,1.006200711887,42.91,45.9806684175186,12.0,9.0,125.75,1306.06282515793,523.527340834429,63.2,9.0,14.5962772806666,0.291491366495139,2.06509730715534,9.77647188223322,0.0,0.823645345712824,161.616161616162,431.034482758621,47.0588235294118,43.1281495618846,47.4804959861305,542.740108303781
2601805,Betânia,PE,1256.138,11981.0,8853.66339203739,56.6439551992929,67.0950735291136,56.2597838566749,46.5770082120901,74.8137388599976,46.6794754083502,85.1996019713136,61.6874778767931,77.1669496485113,40.1594726571949,47.760545865683,59.9521672553106,41.096625259726,48.8188258310275,66.5283863850319,29.8641953725749,95.6586699058609,753.398719591982,164.056578359401,24.0392214762196,3.2099195437143,40.0984148611854,31.4879496474271,50.14375,33.325,29.3528617170497,95.0362159833369,87.0252825595186,96.9955077452403,49.251379038613,5.92276711679697,26.7094017094017,14.2450142450142,0.633333333333333,0.183333333333333,6.31666666666667,30.35,5.23333333333333,3.98333333333333,29.57,0.16,44.8,94.8616166666667,72.382706951609,69.53,3.12555496359439,434.128433458472,18.9493545755778,14.2450142450142,0.847183068316339,4.55330764245116,0.89031339031339,45.86,19.3848682977177,13.0,2.0,156.685138539043,742.801587301588,405.323043871552,65.8702928870293,4.0,18.8401618828293,0.317380778588808,2.05724043625356,0.0,0.888888888888889,0.920693471043894,0.0,174.129353233831,132.248219735504,39.8841968942018,56.9631112382042,476.979712511671
2601904,Bezerros,PE,497.156,64809.0,14964.8139887979,60.4976794501784,73.2564897366909,64.6453498201151,43.591198793729,74.3419137264462,74.8380502020441,93.2994299407048,50.5465650775686,77.2079791999278,67.7482614577831,50.183359328608,63.4417992941417,31.8751537704245,54.121402124239,56.0241436991844,32.3440955810681,75.5284235633907,676.852642767687,166.037087220058,13.1545803428899,3.07251752600928,70.9380368624617,80.6364171377683,90.10875,49.30125,82.2126382140298,96.1728203577425,86.9744887185086,99.0623713031654,87.7714965783993,3.85148667385611,37.6098304315404,15.56067040555,0.633333333333333,1.3,6.83333333333333,19.85,5.04166666666667,5.45,98.94,17.4,76.0,94.062425,82.4948586365296,70.1,2.91888506107109,454.092021409891,19.4237120116743,6.1594320355302,2.40928895294865,2.59472484296037,0.810451583622394,40.28,35.5348269531084,3.0,8.0,79.75,1083.54861111111,318.212491221793,69.4,6.0,16.9720049363547,0.278602943503718,1.04890411454787,3.32405412219932,0.133333333333333,0.917480348417251,75.7575757575757,81.3433985518409,72.3109370292257,36.3206975819718,43.53221527809,547.538665078437
