Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Bom Jesus do Amparo,MG,61.61,195.61,5786.00,30838.75,77.21,66.55,41.08,78.54,60.47,88.47,81.37,75.05,75.74,65.18,50.24,17.67,51.07,68.83,26.73,84.55,1007.14,82.72,9.12,4.69,51.58,89.05,46.26,25.47,78.96,85.45,86.71,94.91,0.00,0.00,0.00,24.27,0.76,5.62,19.96,8.00,5.06,7.44,92.99,35.76,59.21,94.21,64.63,75.01,234.30,262.85,23.54,6.93,16.58,3.46,22.43,0.22,54.34,1.00,0.00,468.93,1969.25,65.58,127.18,2.00,12.12,0.78,0.29,6.46,0.67,0.73,,97.06,53.10,34.54,49.46,484.22
Uibaí,BA,61.61,545.30,13886.00,12765.74,77.33,59.82,47.68,73.17,75.82,91.77,68.56,61.05,65.69,53.49,59.06,38.48,52.68,78.80,20.78,84.90,1004.50,164.51,8.40,5.14,94.41,4.77,96.39,31.93,97.79,96.29,73.29,97.65,6.72,2.93,8.63,18.71,0.64,16.12,44.80,14.20,4.27,5.90,76.38,34.65,33.71,93.07,55.81,70.46,267.60,417.01,20.84,12.95,2.95,1.44,11.53,0.64,49.92,2.00,10.00,1038.68,2564.01,39.10,81.44,3.00,15.26,2.81,0.27,1.16,0.22,0.92,,5.86,8.52,18.52,23.93,518.45
Roque Gonzales,RS,61.61,349.08,6693.00,59278.80,74.58,63.74,46.51,72.48,82.16,86.87,56.81,74.72,64.61,56.29,59.35,21.30,61.23,66.72,36.78,88.71,2865.76,160.38,20.49,2.99,97.57,29.08,100.00,29.73,53.24,89.77,89.59,94.96,18.30,11.94,20.78,37.79,0.80,6.76,20.06,10.94,6.08,8.84,72.77,12.77,48.81,95.45,27.45,75.55,246.69,448.98,39.84,8.75,17.66,1.49,19.80,5.85,43.88,1.00,2.00,637.41,1112.11,67.80,93.63,3.00,8.92,3.94,0.25,1.45,0.44,0.77,,59.79,135.14,41.49,58.19,569.02
Conceição das Pedras,MG,61.61,102.21,2840.00,27742.96,77.60,63.19,44.03,72.87,81.65,92.90,62.96,74.07,61.61,58.83,58.25,20.39,53.50,70.28,31.97,93.16,895.78,155.61,13.33,5.69,67.00,67.68,99.46,10.05,67.57,93.81,96.69,98.84,34.90,15.23,7.05,0.00,1.26,9.46,19.42,11.22,5.79,2.98,68.60,17.18,40.18,92.62,80.04,74.25,145.80,420.38,24.92,21.17,6.63,0.00,15.26,0.00,45.37,1.00,0.00,411.58,713.87,56.50,115.29,3.00,11.38,2.53,0.30,4.39,0.22,0.54,,137.50,0.00,33.06,57.75,533.74
Inocência,MS,61.60,5761.19,8764.00,107976.61,76.49,61.38,46.94,72.54,72.41,96.37,64.64,74.96,63.32,56.39,50.82,33.42,56.94,56.88,40.51,78.06,1452.19,94.63,26.65,3.62,86.52,70.80,62.91,35.62,86.80,98.21,94.13,99.79,39.75,0.00,20.96,32.66,0.50,1.90,25.32,11.28,5.09,6.38,67.67,6.77,88.78,75.45,85.14,75.76,199.22,428.97,26.71,20.88,99.97,7.99,18.63,4.36,47.93,7.00,0.00,390.49,469.01,55.47,107.99,4.00,18.77,0.00,0.28,46.47,0.44,0.84,,168.05,263.16,59.04,82.12,506.54
Piquete,SP,61.60,176.00,12516.00,18165.63,82.21,67.97,34.62,73.34,89.21,95.28,71.02,82.37,80.07,47.02,62.44,19.96,55.47,38.26,24.78,73.69,968.13,153.48,6.46,4.54,91.87,97.53,91.19,24.14,97.98,96.08,86.17,99.23,32.82,0.00,9.36,10.75,0.38,2.46,11.46,4.00,5.47,4.96,95.57,57.48,52.10,97.19,90.36,74.38,294.26,490.66,33.15,12.43,2.84,1.60,4.61,2.16,47.25,1.00,0.00,426.50,623.59,53.68,59.58,3.00,11.43,5.11,0.27,16.38,0.44,0.00,181.82,434.13,552.02,32.72,36.15,497.96
Salto Grande,SP,61.60,188.44,9221.00,42829.19,77.96,69.87,36.96,73.61,79.43,88.08,70.71,83.09,82.61,49.54,64.26,26.20,54.18,34.15,33.30,78.68,2048.37,113.61,7.14,5.20,95.02,68.48,98.06,64.99,93.32,85.94,86.36,88.76,10.59,0.00,10.81,17.32,0.24,1.34,11.76,4.90,5.77,5.38,97.40,56.83,64.17,96.41,78.57,74.50,286.04,465.94,35.40,8.68,5.05,0.00,2.75,2.92,42.20,5.00,0.00,474.97,969.53,69.36,88.10,5.00,14.50,5.33,0.27,17.06,0.22,0.00,333.33,525.37,491.07,47.43,63.07,496.24
Balneário Barra do Sul,SC,61.60,108.91,16953.00,18970.62,79.94,68.94,35.91,78.06,83.93,92.82,64.93,72.02,93.47,56.00,54.29,22.92,51.34,42.40,26.98,91.18,1176.83,117.98,17.05,3.35,89.64,60.68,95.45,24.98,97.22,88.71,91.44,94.93,17.06,5.11,13.22,13.78,0.20,6.14,25.92,9.54,5.05,12.10,98.85,100.00,74.34,97.25,74.62,75.64,266.28,358.93,32.49,10.97,2.67,0.00,24.48,3.89,61.35,1.00,0.00,397.82,256.27,43.90,86.41,4.00,13.29,0.29,0.29,17.71,0.44,0.00,31.25,489.69,294.84,29.52,39.50,526.44
Serra do Salitre,MG,61.59,1295.27,12286.00,73131.12,76.13,65.35,43.29,79.69,82.49,92.99,49.35,80.71,77.37,51.95,51.38,18.73,52.36,57.31,44.78,96.17,882.07,144.64,16.98,2.58,87.98,98.93,69.11,19.14,89.03,89.66,91.11,97.79,54.58,6.84,20.12,35.13,0.20,5.00,12.12,7.36,5.77,2.96,78.26,53.60,69.36,93.99,81.75,76.11,314.54,406.34,29.41,15.03,23.30,25.23,11.99,3.07,54.49,1.00,0.00,737.92,726.06,56.82,97.31,4.00,14.32,2.49,0.30,26.85,0.89,0.95,,1157.05,734.58,76.14,84.76,504.80
São Domingos do Prata,MG,61.59,743.77,17783.00,22656.24,78.03,66.29,40.45,76.49,60.98,92.07,82.56,76.86,69.72,61.91,56.66,30.09,55.72,51.79,24.19,97.70,1646.06,122.03,6.51,5.90,62.68,62.51,54.32,33.22,79.00,92.77,87.00,99.19,0.00,0.00,3.36,7.85,0.40,8.94,17.82,8.42,5.84,3.84,79.03,29.75,48.55,96.55,74.49,74.36,196.17,337.66,26.91,7.84,7.95,5.06,14.46,4.61,53.84,6.00,0.00,582.48,547.90,56.06,104.10,2.00,9.18,0.03,0.27,3.53,0.18,0.39,,406.21,324.32,23.46,37.10,514.56
Guarujá do Sul,SC,61.59,100.63,4893.00,53733.50,77.03,67.73,40.00,74.63,72.27,90.84,70.39,80.35,79.04,51.14,60.39,20.43,57.94,42.11,39.51,87.40,4626.68,117.21,9.85,3.52,86.71,23.47,82.52,30.15,76.53,86.08,95.11,96.54,22.35,0.00,12.26,16.35,0.48,3.60,14.38,6.74,5.69,4.58,85.75,53.28,68.23,94.19,86.10,75.00,233.09,449.24,31.73,20.44,7.43,0.00,11.22,3.06,45.77,1.00,0.00,709.34,415.68,51.48,108.38,3.00,6.68,0.00,0.26,18.49,0.00,0.00,,296.63,1739.13,48.55,67.47,560.18
Lagoa d'Anta,RN,61.59,104.06,6756.00,13320.90,79.34,61.12,44.30,80.60,71.44,94.89,70.44,64.07,66.19,59.33,54.89,26.90,51.39,77.76,21.14,81.11,400.08,85.14,14.41,2.92,82.91,23.46,88.02,35.96,77.26,97.31,95.11,99.24,23.01,0.00,12.02,15.03,2.52,12.28,37.84,8.36,3.48,3.88,99.56,7.57,51.76,81.79,45.08,69.36,183.34,326.85,26.50,9.07,4.68,0.00,22.79,0.37,52.65,6.00,0.00,847.25,1948.85,56.26,106.93,1.00,15.62,0.80,0.32,0.00,0.22,0.82,,36.21,0.00,26.50,32.15,479.90
Barra do Quaraí,RS,61.58,1055.94,4340.00,76633.64,80.57,57.52,46.66,67.39,80.67,89.00,85.22,64.13,62.48,59.09,44.39,19.84,51.16,67.52,48.11,40.19,434.48,105.98,30.53,1.96,88.48,98.48,70.78,30.87,94.24,89.56,82.17,90.89,0.00,0.00,0.00,0.00,0.14,10.54,34.12,17.82,4.85,10.58,75.84,6.11,40.80,95.42,77.63,73.13,138.92,339.70,33.61,13.97,108.68,16.13,69.33,3.33,43.40,3.00,0.00,785.98,1846.35,67.33,80.97,1.00,16.03,3.49,0.29,39.74,0.00,0.33,,19.23,0.00,75.06,112.85,480.12
Simão Pereira,MG,61.58,135.69,3084.00,37642.35,77.77,62.40,44.59,69.12,85.96,88.22,67.77,58.85,76.21,55.41,59.13,17.84,60.13,66.66,33.71,88.98,1000.72,125.10,31.43,5.08,85.54,91.38,97.18,33.69,88.09,73.39,87.18,99.06,33.56,0.00,6.62,32.99,0.20,16.40,46.96,13.16,4.17,13.58,96.98,1.55,85.69,95.46,40.74,75.57,321.40,388.02,34.48,6.61,5.78,12.97,6.51,0.28,45.85,1.00,0.00,523.07,1275.35,62.27,83.54,0.00,12.19,0.00,0.27,3.69,0.67,0.59,,79.30,121.70,45.57,74.14,479.30
Sobradinho,RS,61.58,128.82,14512.00,36055.68,74.93,67.62,42.20,72.95,71.93,90.91,63.91,73.05,80.09,52.39,64.95,25.35,55.28,46.98,41.21,87.12,2049.80,171.37,14.93,3.66,87.50,42.17,80.66,44.21,91.42,97.80,85.38,89.32,25.28,5.37,17.90,16.54,1.44,7.30,21.66,12.44,5.44,3.24,95.88,44.29,63.01,97.72,92.26,76.66,236.69,527.68,27.46,17.90,2.38,0.00,19.46,5.01,42.66,5.00,0.00,759.46,1232.12,61.97,94.81,5.00,9.06,12.90,0.28,39.71,0.44,0.99,571.43,263.51,156.99,47.89,70.10,576.86
Santo Antônio do Sudoeste,PR,61.58,325.65,24980.00,32220.42,78.66,65.49,40.59,77.43,80.88,88.99,67.35,77.06,66.14,54.46,64.29,20.25,55.34,55.09,31.70,88.20,2675.97,141.38,13.57,2.29,88.43,85.61,80.52,34.41,84.10,92.42,89.77,87.87,18.25,3.23,14.19,15.11,0.08,2.94,12.18,13.26,5.44,5.88,75.42,24.35,39.61,97.06,83.58,73.42,175.71,437.36,32.72,13.51,4.08,0.00,5.94,4.40,44.47,1.00,0.00,531.75,524.37,54.88,98.03,8.00,12.60,0.14,0.27,0.57,0.73,0.95,375.00,222.74,247.42,37.40,55.03,524.76
Crucilândia,MG,61.58,167.16,5674.00,17746.21,76.42,67.14,41.18,68.59,70.27,95.33,71.48,79.55,70.47,60.30,58.24,17.37,56.95,53.46,36.94,87.69,939.82,122.20,28.58,5.74,71.21,76.79,60.96,22.55,85.74,94.39,95.94,98.96,18.69,0.00,7.25,7.31,1.22,3.86,15.94,6.64,5.61,2.94,80.33,20.15,60.20,96.07,72.99,73.97,242.14,306.23,23.92,10.78,5.41,3.52,6.50,0.11,48.91,1.00,0.00,678.33,1079.54,65.61,88.72,3.00,5.84,0.38,0.25,1.96,0.22,0.26,,160.08,445.68,41.17,66.42,551.62
Alegrete,RS,61.58,7800.55,74285.00,41758.47,77.02,62.57,45.14,77.03,78.63,85.75,66.68,69.62,78.27,54.06,48.33,25.29,61.15,57.06,37.08,83.21,1560.68,151.99,12.32,2.57,88.48,98.03,89.64,67.79,91.36,89.26,67.32,92.44,28.63,4.15,17.25,10.63,0.32,6.48,33.62,10.22,4.98,12.94,92.29,42.88,59.61,97.85,81.91,75.93,205.02,485.22,36.61,10.07,39.55,3.50,56.33,2.65,46.13,5.00,0.00,539.40,1500.28,67.92,93.69,8.00,8.66,9.73,0.27,28.15,0.40,0.63,,240.80,139.45,47.94,61.65,545.80
Pratinha,MG,61.58,622.48,3691.00,62360.34,79.91,63.85,40.97,75.13,72.65,89.76,82.09,76.27,60.51,65.99,52.65,21.96,51.41,64.75,25.75,92.94,427.52,139.45,23.87,3.78,69.16,78.43,54.83,0.00,69.43,92.66,83.26,98.76,0.00,0.00,5.55,16.44,2.08,5.04,18.32,7.84,5.46,4.08,61.42,9.12,46.12,95.47,69.64,77.24,179.35,352.41,25.55,10.99,28.28,24.38,11.76,1.16,48.03,1.00,0.00,325.84,306.81,61.90,107.96,2.00,10.10,12.34,0.31,5.59,0.00,0.00,,69.04,0.00,30.00,49.38,485.11
Diorama,GO,61.58,685.38,1991.00,61140.63,76.60,63.20,44.93,75.79,71.08,94.77,64.77,85.62,64.34,57.41,45.43,22.07,55.52,59.90,42.21,94.29,1715.49,87.94,26.67,3.76,81.32,57.63,64.66,26.37,80.85,97.73,93.47,98.35,0.00,19.84,19.20,39.16,0.00,0.00,11.00,6.44,6.01,0.00,67.01,2.47,57.83,99.02,78.93,75.48,306.67,321.06,32.04,0.00,103.13,20.09,22.00,0.87,51.69,1.00,0.00,441.66,369.95,46.29,103.78,3.00,17.31,0.00,0.26,4.38,0.22,0.94,,138.58,459.77,48.80,75.48,573.51
Itaobim,MG,61.57,679.02,19263.00,19516.79,74.51,64.59,45.61,70.00,78.02,89.19,60.81,72.78,68.53,58.87,58.15,31.22,53.78,71.96,25.47,83.26,1331.01,135.06,13.54,6.27,86.69,51.57,81.41,21.50,77.17,94.50,76.52,97.33,40.71,4.05,26.53,36.50,1.82,8.54,24.78,7.52,4.85,3.10,83.35,9.89,59.16,94.50,58.00,72.19,253.65,344.38,25.64,4.01,6.32,6.75,16.29,1.89,47.46,6.00,0.00,382.58,412.54,60.98,105.48,4.00,16.59,54.55,0.29,19.08,0.18,0.96,,137.40,0.00,31.54,42.25,494.84
Gália,SP,61.56,355.91,6413.00,34437.70,76.21,69.02,39.46,72.93,76.84,85.24,69.81,85.71,83.07,48.53,58.79,24.36,56.05,48.72,28.72,83.90,1417.16,154.77,16.76,3.91,76.60,81.57,82.64,34.72,81.60,76.27,74.02,99.40,18.12,0.00,6.09,21.34,0.18,0.30,8.22,4.38,5.51,0.00,92.46,68.92,60.31,97.07,47.34,74.36,277.31,521.54,37.10,15.41,9.20,18.71,7.36,0.87,43.75,2.00,0.00,280.69,406.39,57.58,122.51,4.00,8.38,7.53,0.27,35.93,0.22,0.26,,217.69,353.54,41.21,53.89,479.26
Funilândia,MG,61.56,199.80,4934.00,22526.96,72.14,67.35,45.20,75.10,62.38,88.63,62.44,73.73,73.34,61.79,60.52,18.23,55.84,71.30,35.43,97.41,670.76,124.36,21.03,4.92,75.89,57.48,53.28,42.82,90.29,81.74,79.93,97.98,19.38,8.58,12.61,12.56,1.60,5.56,30.86,7.24,5.10,4.52,94.49,33.16,53.58,91.00,89.31,75.66,215.71,334.04,30.91,0.00,7.36,8.11,17.67,5.25,45.82,1.00,0.00,537.73,1244.72,57.59,86.21,3.00,13.26,6.86,0.27,4.82,0.44,0.96,,59.40,33.39,46.37,77.38,490.63
Brasileira,PI,61.56,880.84,8684.00,11644.06,78.14,62.32,44.21,81.08,65.91,82.29,83.30,76.81,56.12,59.73,56.61,21.66,50.58,77.14,27.46,92.76,508.29,92.20,6.45,4.79,61.30,96.44,60.71,41.54,57.75,91.81,62.26,96.30,0.00,0.00,0.00,18.55,0.54,4.92,22.48,7.08,4.68,1.32,54.59,29.60,37.73,81.95,66.67,70.10,167.46,288.96,26.23,11.61,5.17,51.82,12.20,5.82,53.57,2.00,0.00,521.21,870.44,51.76,100.81,2.00,11.15,1.40,0.30,0.92,0.44,0.28,,18.52,0.00,32.44,45.87,508.39
Ciríaco,RS,61.56,274.35,4208.00,55468.16,75.76,63.67,45.25,80.03,71.37,85.46,66.19,78.20,66.99,51.90,57.58,18.73,56.09,75.32,30.85,90.98,1371.05,159.42,1.75,3.45,80.49,81.57,52.19,23.16,31.30,98.57,87.51,94.10,22.99,0.00,13.88,36.94,0.38,6.44,13.12,6.36,5.43,6.64,76.96,7.77,60.89,94.83,65.20,76.31,297.07,451.23,33.98,13.77,18.07,0.00,15.12,4.06,46.45,1.00,0.00,526.17,821.89,66.81,113.35,2.00,7.65,0.74,0.26,0.00,0.22,0.48,,28.04,0.00,34.55,47.77,540.20
Jaraguá,GO,61.56,1848.95,46633.00,25846.42,75.44,66.33,42.90,72.18,83.61,93.82,52.15,82.27,68.50,55.85,58.70,26.45,54.72,64.68,25.77,71.97,1090.36,162.28,11.42,3.85,90.41,87.14,83.59,30.08,91.38,88.38,92.20,99.38,67.29,3.46,28.13,27.66,0.10,1.32,11.78,8.44,5.94,3.84,88.51,4.84,55.06,95.75,81.60,75.43,290.49,434.63,20.93,11.25,15.49,7.08,18.17,6.20,46.41,3.00,0.00,490.28,325.97,41.13,98.43,3.00,12.36,5.76,0.26,20.96,0.46,0.94,,131.60,83.48,29.40,40.31,509.61
Lavras da Mangabeira,CE,61.56,945.26,32163.00,13835.77,70.83,64.59,49.25,75.09,54.11,90.81,63.32,77.61,65.98,61.88,52.90,35.98,51.63,82.58,26.80,89.49,2805.18,97.77,11.59,4.89,62.96,52.05,46.79,48.17,59.51,97.48,92.30,96.24,23.71,6.25,11.82,30.49,0.68,0.80,31.28,6.62,4.58,0.08,87.05,17.86,31.90,96.20,78.05,71.65,166.03,353.67,20.95,7.47,7.10,20.21,34.71,1.04,49.59,10.00,0.00,740.83,1111.68,58.71,94.35,3.00,14.83,1.61,0.28,0.84,0.46,0.99,,30.02,0.00,28.79,42.72,518.28
Peabiru,PR,61.55,468.59,13494.00,39328.07,76.49,69.58,38.59,80.06,67.02,94.22,64.65,81.85,83.86,53.00,59.62,20.36,53.42,53.62,26.95,93.76,696.61,141.63,13.16,2.93,91.16,2.24,83.80,48.92,91.41,92.93,92.67,97.02,35.43,2.91,17.73,27.99,0.00,0.90,11.92,9.02,5.62,2.82,90.10,65.67,73.81,94.88,75.06,74.56,273.40,472.78,28.45,8.84,7.55,0.74,1.96,0.82,46.76,1.00,0.00,332.88,683.76,69.75,144.87,3.00,11.27,2.37,0.28,3.13,0.00,0.79,,304.91,454.55,31.27,40.15,519.52
Chã Preta,AL,61.54,157.83,6000.00,48282.17,74.32,60.65,49.66,74.97,64.69,87.35,70.28,72.89,64.95,54.66,50.09,49.67,46.81,64.56,37.58,79.48,513.61,137.72,14.13,3.93,70.39,83.71,73.91,72.06,69.73,95.36,83.49,90.30,27.37,0.00,12.77,6.49,1.04,5.18,32.00,9.18,4.35,0.52,86.66,0.33,44.07,95.83,76.90,69.22,243.64,400.12,22.85,0.00,12.09,0.00,28.45,0.00,54.93,9.00,7.00,454.80,1176.73,50.98,115.35,2.00,20.39,0.23,0.29,1.74,0.22,0.53,,46.17,59.70,66.68,76.79,461.14
Trombas,GO,61.54,802.90,3080.00,26668.18,79.91,63.63,41.09,76.82,73.87,87.02,81.94,78.87,70.30,63.76,41.58,21.86,52.07,67.53,22.88,86.47,1099.98,125.11,8.89,4.53,70.92,41.40,99.22,34.20,71.80,94.32,76.96,93.35,0.00,0.00,6.22,6.29,0.10,0.30,23.80,8.82,5.21,3.76,68.81,26.56,62.85,98.89,41.41,73.71,257.91,275.36,24.59,6.29,85.35,35.71,44.05,0.09,51.58,1.00,0.00,405.86,512.90,40.30,85.83,1.00,18.05,1.33,0.26,2.34,0.22,0.93,,51.53,70.18,31.41,48.36,447.61
Alagoa,MG,61.54,161.36,2820.00,22638.30,78.18,62.59,43.85,75.86,63.78,91.32,81.75,77.48,63.74,51.45,57.69,20.48,52.57,65.90,36.43,100.00,2696.16,136.66,9.52,4.92,57.42,69.05,59.77,23.91,62.37,96.80,90.63,98.04,0.00,0.00,7.11,7.11,0.06,3.70,26.08,7.66,5.49,5.58,64.36,18.11,48.11,96.57,74.12,74.93,199.24,564.11,28.80,21.40,7.84,21.28,9.89,0.00,44.76,1.00,0.00,439.61,714.96,51.88,107.45,6.00,18.42,0.00,0.27,0.00,0.22,0.00,,132.96,0.00,41.51,58.81,563.02
Pacoti,CE,61.53,112.43,11421.00,15355.84,65.53,63.63,55.44,77.53,45.64,85.89,53.04,77.87,63.01,52.18,61.47,64.77,54.70,62.90,39.39,94.71,1356.92,153.33,23.72,1.90,52.12,27.61,35.65,37.10,69.56,80.35,81.91,97.77,44.80,6.97,20.83,12.16,0.20,4.76,23.72,7.82,5.05,0.12,72.24,18.92,39.58,93.40,59.89,71.38,272.57,409.39,25.52,13.86,2.40,14.01,3.25,0.00,46.03,13.00,12.00,782.04,1167.69,78.41,149.10,7.00,14.90,1.08,0.27,0.00,0.67,0.55,,153.30,262.01,54.74,81.27,506.86
Rosário do Sul,RS,61.53,4343.66,37674.00,39770.48,79.35,63.36,41.87,72.35,86.35,91.08,67.60,65.14,79.20,55.48,53.64,20.30,53.61,62.19,31.38,67.66,1660.23,153.23,14.56,2.75,91.58,93.32,89.21,31.51,92.08,96.94,75.66,95.96,34.14,2.04,13.05,15.14,1.00,13.44,34.04,13.28,4.70,6.48,91.13,54.02,55.99,97.49,67.82,75.47,218.02,524.03,28.36,12.02,34.55,1.59,45.89,6.61,44.84,3.00,0.00,729.37,1528.57,67.73,78.58,7.00,13.76,2.39,0.29,23.22,0.15,0.91,,88.59,71.53,36.89,48.51,538.36
São José do Mantimento,MG,61.53,54.70,2844.00,20039.38,78.21,62.73,43.63,72.16,65.35,92.04,83.30,78.23,63.15,50.22,59.33,23.82,53.02,64.15,33.54,70.28,1280.24,158.38,10.41,3.83,66.69,79.75,54.58,31.82,68.60,87.93,97.92,99.52,0.00,0.00,0.00,14.29,1.04,5.42,12.60,6.82,5.30,4.52,86.04,35.82,51.54,68.02,82.51,74.36,304.99,421.04,18.73,28.76,3.79,3.52,14.35,0.45,46.73,1.00,3.00,415.53,1440.38,69.22,104.72,2.00,15.89,0.00,0.27,2.89,0.00,0.98,,57.09,105.82,32.87,48.09,577.92
Remígio,PB,61.52,183.46,18399.00,12194.47,74.30,62.91,47.35,79.01,60.41,94.97,62.83,69.06,75.90,52.23,54.47,36.03,49.40,72.19,31.79,91.10,357.96,127.41,10.28,4.17,70.61,83.56,31.28,30.98,76.96,98.36,96.44,98.04,37.14,6.23,22.88,13.07,2.08,3.18,36.84,7.72,4.18,10.64,93.05,26.91,64.25,96.38,70.74,72.83,256.27,414.26,30.05,13.07,3.15,1.09,50.64,2.67,50.53,8.00,0.00,391.36,739.43,32.97,86.19,6.00,17.41,3.67,0.30,3.83,0.55,0.60,,18.69,44.18,41.17,56.24,512.09
Palmitinho,RS,61.52,144.18,8042.00,32992.41,75.39,63.55,45.63,78.76,76.63,83.57,62.60,79.49,66.31,49.03,59.37,30.94,55.29,59.65,36.65,94.31,2613.69,132.84,9.60,3.15,78.75,75.57,74.92,23.56,36.85,97.94,92.93,84.37,12.92,5.05,15.10,27.69,0.14,7.66,14.60,7.32,5.95,2.84,66.30,29.32,47.13,97.07,67.96,75.13,228.28,439.01,34.80,32.71,9.89,0.00,7.32,1.11,44.56,1.00,6.00,507.76,985.24,56.69,103.19,5.00,8.51,1.19,0.28,2.20,0.22,0.00,105.26,55.53,0.00,52.86,66.61,514.06
Guiratinga,MT,61.52,5043.90,10252.00,68866.17,78.28,60.85,45.44,72.43,86.27,94.37,60.05,75.05,72.22,48.55,47.58,25.07,56.07,76.54,24.07,90.59,2412.02,140.14,17.27,4.51,88.93,69.93,92.63,15.23,89.51,99.44,83.97,98.81,29.05,11.41,14.76,25.70,0.26,1.82,26.26,6.44,5.01,13.86,81.51,33.90,58.44,93.89,91.45,73.80,305.53,443.75,31.36,9.10,70.77,37.07,30.13,1.52,46.27,2.00,0.00,559.78,302.54,30.75,98.69,2.00,15.14,0.00,0.27,3.51,0.44,0.95,,15.58,20.86,28.42,37.02,499.16
Bom Jesus do Itabapoana,RJ,61.52,596.66,37176.00,32483.62,75.85,67.63,41.08,61.96,79.19,96.32,65.94,80.08,77.62,54.03,58.78,16.91,61.12,46.83,39.47,38.46,2668.98,137.68,12.21,4.78,92.63,97.41,77.78,54.13,92.90,97.10,93.30,98.79,18.47,2.08,11.84,20.98,0.04,0.60,21.04,5.12,5.33,8.08,88.19,51.50,55.44,96.77,67.47,74.16,257.47,491.94,28.36,6.99,6.55,0.27,4.54,4.03,53.20,1.00,0.00,802.14,1851.01,44.26,38.52,5.00,12.45,2.63,0.26,24.79,0.00,0.30,,316.27,347.53,47.61,64.82,568.98
Lucrécia,RN,61.52,30.93,3576.00,17081.10,72.58,60.01,51.97,71.65,67.69,94.22,56.78,57.72,69.69,58.21,54.42,27.52,57.39,95.41,27.56,92.78,4218.13,82.99,31.79,3.33,67.33,91.30,65.21,45.57,97.45,97.19,84.16,97.07,49.88,0.00,27.71,5.54,0.76,24.02,57.28,10.58,4.51,4.46,97.56,19.84,61.45,80.99,53.33,72.12,168.15,426.89,33.22,5.59,3.13,2.80,25.86,0.02,54.06,5.00,1.00,723.22,1938.80,54.13,116.40,4.00,12.21,2.97,0.23,0.00,0.89,0.65,,0.00,0.00,36.53,50.01,487.66
Vargem Bonita,MG,61.52,409.89,2207.00,41867.69,80.74,60.70,43.12,68.54,75.03,96.10,83.30,83.93,48.89,59.16,50.80,24.47,60.44,44.86,42.73,78.06,1653.54,124.23,33.06,3.61,83.92,98.18,54.20,26.27,88.30,93.40,97.82,99.66,0.00,0.00,0.00,9.07,0.58,2.26,10.90,3.76,5.69,1.98,75.69,19.61,24.57,59.38,86.60,75.80,173.63,314.50,33.83,18.09,26.24,54.37,9.59,1.38,49.97,3.00,0.00,463.28,492.59,56.36,87.98,2.00,13.66,9.21,0.26,0.00,0.00,0.31,,671.78,1132.08,58.37,94.85,504.76
