Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Três Pontas,MG,64.01,689.79,57209.00,40002.45,81.43,68.44,42.16,74.63,88.85,93.41,68.83,79.57,73.96,55.52,64.71,39.80,59.00,32.71,37.14,94.38,1095.63,154.31,15.32,4.60,92.71,94.76,97.63,34.58,92.27,89.25,89.84,98.80,14.28,2.76,7.38,16.87,0.66,5.08,10.82,7.04,5.52,4.28,91.51,23.00,60.06,96.50,86.42,75.98,216.59,453.97,32.75,9.84,2.39,2.80,9.89,2.87,42.63,5.00,6.00,428.64,737.37,58.45,100.78,8.00,10.48,10.97,0.27,87.79,0.18,0.68,200.00,487.93,424.82,49.23,55.98,557.00
Nova Bassano,RS,64.01,211.61,9867.00,77537.04,79.06,69.44,43.52,83.40,74.02,87.12,71.71,79.86,77.47,60.08,60.35,16.84,59.29,48.21,49.73,96.67,1143.83,86.44,15.63,2.50,74.36,90.40,62.94,22.50,80.81,86.15,95.37,85.03,29.60,0.00,6.19,14.43,0.54,5.84,15.36,5.30,5.63,3.86,86.86,56.98,53.89,95.31,84.97,75.93,170.77,348.20,31.20,16.35,10.90,0.00,19.83,2.19,39.75,0.00,0.00,584.37,765.16,60.49,96.18,6.00,4.74,1.32,0.26,0.00,0.44,0.00,,501.92,1029.41,73.84,92.62,554.10
Serrania,MG,64.00,209.27,7811.00,25933.30,84.55,66.84,40.63,78.84,89.77,97.64,71.95,76.39,79.25,50.68,61.04,19.93,56.93,56.08,29.57,94.01,1207.97,157.95,8.30,3.48,96.09,99.21,81.35,15.27,96.04,96.86,97.26,98.95,10.95,0.00,5.13,10.25,1.32,7.06,16.10,8.18,5.49,3.98,94.29,48.55,63.08,94.16,77.73,75.00,286.51,468.15,31.01,12.83,6.01,2.56,7.47,1.62,44.41,1.00,0.00,434.28,638.37,63.33,114.42,4.00,11.91,2.88,0.25,14.04,0.00,0.72,,196.44,120.19,36.67,54.19,502.15
Santo Antônio da Patrulha,RS,64.00,1049.58,44431.00,49038.53,78.21,67.79,46.01,81.08,68.63,94.56,68.55,73.82,79.34,58.13,59.88,47.80,58.10,47.09,31.05,94.67,979.95,130.69,12.04,2.82,57.84,98.64,62.87,27.54,89.12,96.08,92.26,96.80,13.12,1.81,8.65,17.29,0.70,8.24,18.94,11.94,5.46,4.28,89.25,54.77,60.42,96.27,83.41,76.97,182.16,412.95,37.48,10.50,12.17,0.23,51.32,11.04,43.25,5.00,11.00,719.44,766.99,68.64,114.30,8.00,8.67,4.65,0.29,60.63,0.31,0.00,,165.30,143.07,39.32,51.63,519.57
Jaci,SP,64.00,145.13,7944.00,110876.13,83.79,68.02,40.20,79.51,89.56,95.50,70.57,81.80,83.03,46.59,60.64,26.16,52.34,32.90,49.39,100.00,1539.21,151.93,13.89,2.90,90.96,91.82,94.44,21.51,91.31,88.40,98.97,99.76,11.72,0.00,2.60,26.40,0.34,4.38,13.46,4.44,5.42,1.66,99.67,34.81,83.40,96.50,85.70,74.05,323.20,471.26,36.61,5.36,6.39,2.52,4.85,2.30,46.63,4.00,0.00,358.18,756.06,53.50,63.82,4.00,13.14,2.88,0.28,105.31,0.22,0.29,,994.24,1013.22,79.58,95.88,525.32
Faria Lemos,MG,64.00,165.22,3230.00,24602.48,78.70,67.70,45.60,74.12,76.42,92.20,72.05,70.67,79.65,65.35,55.15,35.99,50.90,63.25,32.25,78.54,1644.20,106.90,16.20,4.04,85.39,87.90,66.30,31.97,84.95,83.19,97.79,97.56,0.00,24.62,12.30,0.00,1.72,12.22,28.74,7.48,4.88,2.44,90.50,15.28,100.00,94.23,92.87,73.00,116.81,350.13,21.06,6.11,15.55,0.00,7.40,0.00,49.00,9.00,0.00,555.89,717.40,51.89,96.24,2.00,9.14,1.46,0.33,18.72,0.22,0.37,,36.95,28.82,37.81,59.42,519.60
Campinas do Sul,RS,64.00,276.16,5388.00,54728.10,78.82,66.78,46.39,83.00,85.24,92.67,54.37,78.94,73.53,55.87,58.80,25.64,58.59,64.50,36.80,93.41,1877.46,105.35,11.52,2.00,94.36,99.73,76.99,28.36,96.02,97.06,88.96,90.73,42.87,7.19,14.76,18.52,0.12,6.94,13.86,12.62,6.66,2.44,89.55,23.56,57.19,98.06,87.50,75.49,254.14,445.82,24.34,10.99,11.91,0.00,15.54,0.76,41.69,4.00,0.00,504.40,705.12,57.24,93.14,3.00,8.24,2.20,0.27,0.00,0.67,0.00,,28.59,137.93,51.11,62.24,531.84
Crato,CE,63.99,1138.15,139027.00,17590.59,72.19,68.38,51.40,74.52,77.93,93.61,42.71,78.91,79.86,57.97,56.76,51.42,53.46,61.50,39.23,78.12,774.59,130.40,13.59,4.12,88.65,45.65,98.48,45.60,86.40,96.11,90.50,96.27,77.09,3.06,33.29,16.85,0.36,2.52,22.68,6.60,5.08,2.64,93.87,54.00,57.62,96.47,76.69,74.30,239.86,407.84,23.68,9.38,2.20,5.25,16.42,1.78,55.89,9.00,8.00,584.98,712.38,58.07,113.24,7.00,12.90,2.61,0.27,25.73,0.32,0.66,,167.51,26.64,55.01,68.29,536.26
Abadia dos Dourados,MG,63.99,880.46,6345.00,30007.41,77.94,66.82,47.21,75.72,70.89,94.80,70.35,81.99,68.10,62.15,55.05,23.42,59.81,76.04,29.57,92.09,703.41,108.68,19.51,4.71,77.16,78.56,58.67,27.23,79.49,96.29,94.59,99.25,16.52,0.00,12.44,12.44,0.46,3.62,12.36,7.36,6.05,2.14,69.75,38.22,57.63,88.83,71.66,75.35,202.04,333.95,30.68,6.22,26.04,11.03,13.37,1.12,44.50,3.00,0.00,578.50,553.34,61.97,95.90,3.00,10.51,2.21,0.27,9.48,0.44,0.77,,81.76,0.00,30.94,45.72,539.51
Poço de José de Moura,PB,63.99,94.65,4126.00,14943.04,73.62,66.96,51.39,77.74,44.84,91.79,80.12,77.84,67.08,73.46,49.45,40.10,54.36,68.18,42.92,91.10,1065.33,88.25,24.11,3.32,36.84,55.45,26.29,22.97,42.78,98.84,99.05,99.67,0.00,0.00,14.57,14.59,0.88,0.88,27.40,5.50,4.47,1.70,91.06,23.42,36.96,90.56,38.89,72.82,98.87,304.87,22.09,0.00,4.65,7.27,60.32,0.00,51.60,5.00,6.00,516.62,1282.74,36.94,106.36,4.00,17.39,1.08,0.26,0.00,0.67,0.80,,122.81,98.04,61.09,94.55,500.10
